time,rpm
10,0.00
20,0.00
30,0.00
40,0.00
50,0.00
60,0.00
70,0.00
80,0.00
90,0.00
100,0.00
110,0.00
120,0.00
130,0.00
140,0.00
150,0.00
160,0.00
171,0.00
181,0.00
191,0.00
201,0.00
211,0.00
221,0.00
231,0.00
241,0.00
251,0.00
261,0.00
271,0.00
281,0.00
291,0.00
301,0.00
311,0.00
321,0.00
331,0.00
342,0.00
352,0.00
362,0.00
372,0.00
382,0.00
392,0.00
402,0.00
412,0.00
422,0.00
432,0.00
442,0.00
452,0.00
462,0.00
472,0.00
482,0.00
492,0.00
502,0.00
512,0.00
522,0.00
532,0.00
542,0.00
552,0.00
562,0.00
572,0.00
582,0.00
592,0.00
602,0.00
612,0.00
622,0.00
632,0.00
642,0.00
652,0.00
662,0.00
672,0.00
683,0.00
693,0.00
703,0.00
713,0.00
723,0.00
733,0.00
743,0.00
753,0.00
763,0.00
773,0.00
783,0.00
793,0.00
803,0.00
813,0.00
823,0.00
833,0.00
843,0.00
854,0.00
864,0.00
874,0.00
884,0.00
894,0.00
904,0.00
914,0.00
924,0.00
934,0.00
944,0.00
954,0.00
964,0.00
974,0.00
984,0.00
994,0.00
1004,0.00
1014,0.00
1024,0.00
1034,0.00
1044,0.00
1054,0.00
1064,0.00
1074,0.00
1084,0.00
1094,0.00
1104,0.00
1114,0.00
1124,0.00
1134,0.00
1144,0.00
1154,0.00
1164,0.00
1174,0.00
1184,0.00
1195,0.00
1205,0.00
1215,0.00
1225,0.00
1235,0.00
1245,0.00
1255,0.00
1265,0.00
1276,0.00
1289,0.00
1300,0.00
1311,0.00
1323,0.00
1334,6.00
1345,10.50
1358,16.50
1371,21.00
1383,27.00
1395,33.00
1408,39.00
1421,42.00
1433,48.00
1445,51.00
1458,55.50
1470,58.50
1482,63.00
1496,64.50
1508,67.50
1520,70.50
1532,73.50
1545,75.00
1558,76.50
1570,79.50
1583,79.50
1595,82.50
1607,84.00
1620,84.00
1633,87.00
1645,87.00
1657,90.00
1670,90.00
1682,90.00
1695,93.00
1708,93.00
1720,93.00
1732,94.50
1744,94.50
1758,96.00
